Fecha,Aceites lubricantes,Asfalto ,Bunker,Ceras,Combustible turbo jet,Diesel bajo azufre,Diesel ultra bajo azufre,Gas licuado de petróleo,Gasolina de aviación,Gasolina regular,Gasolina superior,Grasas lubricantes,Kerosina,Mezclas oleosas,Naftas,Petcoke,Petróleo crudo,Solventes,Butano,Diesel alto azufre,MTBE,Orimulsión,Petróleo reconstituido,Total importación,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2012,0.00,"16,175.69","486,502.56",0.00,0.00,0.00,0.00,"521,493.74",0.00,"255,492.16","354,160.85",0.00,"40,494.61",0.00,0.00,0.00,0.00,0.00,0.00,"978,693.29",0.00,0.00,0.00,"2,653,012.90",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr/2012,0.00,"8,865.02","424,997.52",0.00,0.00,0.00,0.00,"131,958.40","2,646.00","189,948.79","399,701.69",0.00,"21,732.04",0.00,0.00,0.00,0.00,0.00,0.00,"697,871.28",0.00,0.00,0.00,"1,877,720.75",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May/2012,0.00,"12,714.50","427,414.42",0.00,0.00,0.00,0.00,"510,506.81","1,551.00","241,786.29","380,531.85",0.00,"70,939.56",0.00,0.00,"169,754.09",0.00,0.00,0.00,"833,370.09",0.00,0.00,0.00,"2,648,568.61",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun/2012,0.00,"5,405.19","490,228.51",0.00,0.00,0.00,0.00,"527,672.26","1,870.00","320,566.69","550,379.33",0.00,"47,391.70",0.00,0.00,0.00,0.00,0.00,0.00,"767,124.65",0.00,0.00,0.00,"2,710,638.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul/2012,0.00,"11,297.69","293,113.09",0.00,0.00,0.00,0.00,"165,424.21",0.00,"142,232.47","271,509.20",0.00,"70,228.77",0.00,0.00,0.00,0.00,0.00,0.00,"1,021,995.90",0.00,0.00,0.00,"1,975,801.33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug/2012,0.00,"13,907.62","76,969.26",0.00,0.00,0.00,0.00,"387,892.07",0.00,"263,677.23","361,307.20",0.00,"65,574.80",0.00,0.00,"148,916.30",0.00,0.00,0.00,"626,706.23",0.00,0.00,0.00,"1,944,950.71",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep/2012,0.00,"6,813.86","323,767.51",0.00,0.00,0.00,0.00,"530,897.79","2,766.00","201,347.56","372,989.29",0.00,"56,595.70",0.00,0.00,0.00,0.00,0.00,0.00,"619,651.27",0.00,0.00,0.00,"2,114,828.97",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct/2012,0.00,"2,242.12","378,149.37",0.00,0.00,0.00,0.00,"162,208.43",0.00,"374,301.51","600,094.03",0.00,"33,639.00",0.00,0.00,0.00,0.00,0.00,0.00,"463,054.77",0.00,0.00,0.00,"2,013,689.23",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov/2012,0.00,0.00,"456,468.18",0.00,0.00,0.00,0.00,"569,345.86","2,651.00","197,398.80","359,818.54",0.00,"37,111.56",0.00,0.00,"147,071.21",0.00,0.00,0.00,"538,552.89",0.00,0.00,0.00,"2,308,418.04",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec/2012,0.00,0.00,"273,182.16",0.00,0.00,0.00,0.00,"152,926.76",95.20,"287,980.58","419,029.17",0.00,"43,950.37",0.00,0.00,"149,085.15",0.00,0.00,0.00,"1,324,780.96",0.00,0.00,0.00,"2,651,030.35",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan/2013,0.00,0.00,"361,207.18",0.00,0.00,0.00,0.00,"575,318.45",190.48,"396,416.84","433,924.69",0.00,"57,437.01",0.00,0.00,"150,030.49",0.00,0.00,0.00,"749,266.68",0.00,0.00,0.00,"2,723,791.82",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb/2013,0.00,0.00,"325,080.10",0.00,0.00,0.00,0.00,"142,772.81","1,047.62","235,502.58","470,483.98",0.00,"55,641.80",0.00,0.00,"168,305.17",0.00,0.00,0.00,"709,843.02",0.00,0.00,0.00,"2,108,677.08",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar/2013,0.00,"3,879.00","231,802.56",0.00,0.00,0.00,0.00,"569,013.24","3,183.88","439,386.62","429,974.17",0.00,"19,570.11",0.00,0.00,0.00,0.00,0.00,0.00,"832,627.57",0.00,0.00,0.00,"2,529,437.15",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
